app,category,pass1_confidence,field,pass1_answer,recheck_answer,agreement,recheck_status,self_serve_status_v1_v2_changed,human_verified_correct_answer
Mermaid CLI,AI & Research Tools,high,self_serve_status,selfservefree,opensourceselfhost,no,ok,no,
Mermaid CLI,AI & Research Tools,high,api_surface,sdkonly,sdkonly,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,api_breadth,narrow,narrow,yes,ok,no,
Mermaid CLI,AI & Research Tools,high,has_mcp,none,official,no,ok,no,
Mermaid CLI,AI & Research Tools,high,buildability_verdict,ready,ready,yes,ok,no,
Paygent Connect,Fintech & Payments,high,auth_methods,"apikey,basicauth,token",,no,ok,no,
Paygent Connect,Fintech & Payments,high,self_serve_status,gatedapproval,gatedapproval,yes,ok,no,
Paygent Connect,Fintech & Payments,high,api_surface,rest,nonepublic,no,ok,no,
Paygent Connect,Fintech & Payments,high,api_breadth,moderate,none,no,ok,no,
Paygent Connect,Fintech & Payments,high,has_mcp,unknown,none,no,ok,no,
Paygent Connect,Fintech & Payments,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
Twilio,Messaging & Comms,high,auth_methods,"apikey,oauth2","accesstokensjwt,accountsidandauthtoken,apikey",no,ok,no,
Twilio,Messaging & Comms,high,self_serve_status,selfservetrial,selfservefree,no,ok,no,
Twilio,Messaging & Comms,high,api_surface,restandgraphql,rest,no,ok,no,
Twilio,Messaging & Comms,high,api_breadth,broad,broad,yes,ok,no,
Twilio,Messaging & Comms,high,has_mcp,official,official,yes,ok,no,
Twilio,Messaging & Comms,high,buildability_verdict,ready,ready,yes,ok,no,
Vercel,Dev Tools & Infra,high,auth_methods,apikey,bearertoken,no,ok,no,
Vercel,Dev Tools & Infra,high,self_serve_status,selfservefree,selfservefree,yes,ok,no,
Vercel,Dev Tools & Infra,high,api_surface,rest,rest,yes,ok,no,
Vercel,Dev Tools & Infra,high,api_breadth,broad,broad,yes,ok,no,
Vercel,Dev Tools & Infra,high,has_mcp,official,official,yes,ok,no,
Vercel,Dev Tools & Infra,high,buildability_verdict,ready,ready,yes,ok,no,
Waterfall.io,Data & Scraping,high,auth_methods,apikey,,no,ok,no,
Waterfall.io,Data & Scraping,high,self_serve_status,selfservetrial,unknown,no,ok,no,
Waterfall.io,Data & Scraping,high,api_surface,rest,nonepublic,no,ok,no,
Waterfall.io,Data & Scraping,high,api_breadth,broad,narrow,no,ok,no,
Waterfall.io,Data & Scraping,high,has_mcp,none,none,yes,ok,no,
Waterfall.io,Data & Scraping,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
Zendesk,Customer Support,high,auth_methods,"apikey,basicauth,oauth2","apitoken,basicauth,oauth",no,ok,no,
Zendesk,Customer Support,high,self_serve_status,selfservetrial,selfservefree,no,ok,no,
Zendesk,Customer Support,high,api_surface,rest,rest,yes,ok,no,
Zendesk,Customer Support,high,api_breadth,broad,broad,yes,ok,no,
Zendesk,Customer Support,high,has_mcp,official,official,yes,ok,no,
Zendesk,Customer Support,high,buildability_verdict,readywithfriction,ready,no,ok,no,
higgsfield,AI & Research Tools,high,auth_methods,apikey,,no,ok,no,
higgsfield,AI & Research Tools,high,self_serve_status,selfservetrial,unknown,no,ok,no,
higgsfield,AI & Research Tools,high,api_surface,sdkonly,nonepublic,no,ok,no,
higgsfield,AI & Research Tools,high,api_breadth,moderate,narrow,no,ok,no,
higgsfield,AI & Research Tools,high,has_mcp,official,none,no,ok,no,
higgsfield,AI & Research Tools,high,buildability_verdict,readywithfriction,blocked,no,ok,no,
